zipcode,median_income
10278,-666666666
10279,-666666666
10280,178148
10280,178148
10282,250001
10301,78053
10302,73927
10303,69879
10304,64539
10305,76833
10306,88687
10307,117469
10308,116082
10309,107500
10310,96161
10311,-666666666
10312,100875
10312,100875
10314,94578
10451,33945
10452,33877
10453,34860
10454,21846
10455,30741
10456,31166
10457,38066
10458,38768
10459,36631
10460,31504
10461,61087
10462,59032
10463,63048
10464,118972
10465,80245
10466,62918
10467,42639
10468,40138
10469,70415
10470,70107
10471,96368
10472,36730
10473,48212
10474,33157
10475,56327
11004,100174
11005,60800
11005,60800
11005,60800
11005,60800
11005,60800
11010,123401
11010,123401
11010,123401
11010,123401
11010,123401
11010,123401
11010,123401
11010,123401
11010,123401
11010,123401
11020,168319
11021,105606
11021,105606
11023,131458
11024,129479
11024,129479
11024,129479
11024,129479
11024,129479
11024,129479
11030,232400
11030,232400
11030,232400
11030,232400
11030,232400
11030,232400
11030,232400
11030,232400
11030,232400
11030,232400
11040,140368
11040,140368
11042,-666666666
11042,-666666666
11042,-666666666
11042,-666666666
11042,-666666666
11042,-666666666
11042,-666666666
11042,-666666666
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11050,138559
11096,69021
11096,69021
11096,69021
11096,69021
11096,69021
11101,98920
11102,95478
11103,82597
11104,81142
11105,93200
11106,71972
11106,71972
11106,71972
11109,160898
11109,160898
11109,160898
11109,160898
11354,52273
11355,46963
11356,73318
11357,88580
11358,74854
11359,-666666666
11360,92851
11361,93734
11362,100528
11363,98111
11364,90970
11365,73279
11366,100781
11367,71469
11368,62254
11369,66132
11370,67241
11371,-666666666
11372,62910
11373,62072
11374,79221
11375,96321
11375,96321
11377,66325
11378,85464
11379,88672
11379,88672
11379,88672
11379,88672
11379,88672
11379,88672
11385,77350
11385,77350
11385,77350
11385,77350
11385,77350
11385,77350
11385,77350
11385,77350
11385,77350
11385,77350
11385,77350
11385,77350
11385,77350
11385,77350
11385,77350
11385,77350
11385,77350
11385,77350
11385,77350
11385,77350
11385,77350
11385,77350
11385,77350
11385,77350
11385,77350
11385,77350
11411,108131
11412,93429
11413,104236
11414,86113
11415,80360
11416,76477
11417,78498
11418,77708
11419,84245
11420,89027
11421,76721
11422,95945
11423,69386
11424,-666666666
11424,-666666666
11426,102818
11427,84000
11428,83417
11429,89318
11430,-666666666
11430,-666666666
11432,66246
11433,68801
11434,66546
11435,71346
11436,78306
11436,78306
11436,78306
11439,-666666666
11439,-666666666
11439,-666666666
11439,-666666666
11439,-666666666
11439,-666666666
11439,-666666666
11439,-666666666
11439,-666666666
11439,-666666666
11439,-666666666
11439,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11451,-666666666
11501,113729
11501,113729
11501,113729
11501,113729
11501,113729
11501,113729
11507,139025
11507,139025
11509,143333
11510,126776
11510,126776
11510,126776
11510,126776
11514,113875
11514,113875
11516,94639
11516,94639
11518,96889
11518,96889
11520,100867
11520,100867
11520,100867
11520,100867
11520,100867
11520,100867
11520,100867
11520,100867
11520,100867
11520,100867
11530,169333
11530,169333
11530,169333
11530,169333
11530,169333
11530,169333
11530,169333
11530,169333
11530,169333
11530,169333
11530,169333
11530,169333
11542,82049
11542,82049
11542,82049
11545,150815
11545,150815
11547,-666666666
11548,139167
11549,-666666666
11550,76430
11550,76430
11552,133423
11553,91809
11554,126079
11554,126079
11556,-666666666
11557,151107
11558,96710
11559,100617
11560,162625
11561,119731
11561,119731
11563,124978
11563,124978
11565,138192
11566,156929
11566,156929
11568,250001
11569,-666666666
11570,138733
11570,138733
11572,124688
11572,124688
11572,124688
11575,102908
11576,207548
11577,177833
11577,177833
11579,165938
11580,123750
11581,121442
11581,121442
11581,121442
11581,121442
11581,121442
11581,121442
11581,121442
11581,121442
11581,121442
11590,122078
11590,122078
11590,122078
11590,122078
11590,122078
11590,122078
11596,137917
11596,137917
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11598,160186
11691,54877
11692,53498
11693,64688
11694,88643
11694,88643
11694,88643
11697,113047
11201,148282
11201,148282
11203,61414
11204,58850
11205,68607
11206,49013
11207,45616
11208,49679
11209,84145
11210,77378
11211,89091
11212,30733
11213,48896
11214,58487
11215,156930
11216,84661
11217,133269
11218,81857
11219,44450
11220,57046
11221,66923
11222,110385
11223,57281
11224,37241
11225,68542
11226,66173
11226,66173
11228,77189
11229,69076
11230,61017
11231,121638
11232,77031
11233,52380
11234,86185
11235,58669
11236,73562
11237,65908
